Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Unemployment rate,Inflation rate,GDP,Daytime/evening attendance,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Marital status,Application mode,Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Application order,Target
20,0,0,10.8,1.4,1.74,1,1,0,1,1,0,1,8,2,1,13,10,6,10,5,Dropout
19,6,6,13.9,-0.3,0.79,1,1,0,0,1,0,1,6,11,1,1,3,4,4,1,Graduate
19,0,0,10.8,1.4,1.74,1,1,0,0,1,0,1,1,5,1,22,27,10,10,5,Dropout
20,6,5,9.4,-0.8,-3.12,1,1,0,1,0,0,1,8,15,1,23,27,6,4,2,Graduate
45,5,6,13.9,-0.3,0.79,0,0,0,1,0,0,2,12,3,1,22,28,10,10,1,Graduate
50,5,5,16.2,0.3,-0.92,0,0,1,1,1,0,2,12,17,12,22,27,10,8,1,Graduate
18,7,8,15.5,2.8,-4.06,1,1,0,1,0,1,1,1,12,1,13,28,8,11,1,Graduate
22,0,0,15.5,2.8,-4.06,1,1,0,0,1,0,1,9,11,1,22,27,10,10,4,Dropout
21,6,6,16.2,0.3,-0.92,1,0,0,1,0,1,1,1,10,1,1,1,10,10,3,Graduate
18,5,2,8.9,1.4,3.51,1,1,1,0,0,0,1,1,10,1,1,14,5,8,1,Dropout
18,6,5,13.9,-0.3,0.79,1,1,0,1,0,0,1,1,14,1,23,14,6,8,1,Graduate
18,7,7,12.7,3.7,-1.7,1,1,0,1,0,1,1,1,12,1,13,28,10,10,1,Graduate
19,0,0,12.7,3.7,-1.7,1,1,0,1,0,0,1,1,16,1,13,27,5,10,2,Dropout
21,6,5,8.9,1.4,3.51,1,1,0,1,0,1,1,17,11,16,1,1,5,8,1,Graduate
18,4,5,10.8,1.4,1.74,1,1,0,1,0,1,1,1,6,1,23,27,6,6,1,Graduate
20,5,0,15.5,2.8,-4.06,1,1,0,1,0,0,1,1,15,1,13,27,10,4,1,Dropout
18,1,2,10.8,1.4,1.74,1,1,0,1,0,0,1,9,10,1,13,28,6,9,1,Enrolled
18,7,8,15.5,2.8,-4.06,1,1,0,1,0,0,1,8,12,1,13,1,6,5,2,Graduate
20,4,4,10.8,1.4,1.74,1,1,0,1,0,0,1,1,8,1,3,14,4,6,1,Graduate
18,6,6,16.2,0.3,-0.92,1,1,0,1,0,0,1,1,16,1,13,14,8,8,1,Enrolled
21,0,0,11.1,0.6,2.02,1,0,0,1,0,1,1,1,2,1,1,1,10,9,3,Graduate
20,7,8,12.7,3.7,-1.7,1,1,0,1,0,0,1,9,13,1,1,28,5,8,4,Enrolled
18,7,7,12.7,3.7,-1.7,1,1,0,1,0,0,1,1,12,1,13,14,2,2,4,Graduate
19,6,6,11.1,0.6,2.02,1,1,0,1,0,1,1,1,14,1,1,28,5,8,4,Graduate
19,6,7,11.1,0.6,2.02,1,0,0,1,0,0,1,1,12,1,13,14,4,8,1,Graduate
18,5,4,7.6,2.6,0.32,1,1,1,1,0,1,1,1,10,1,13,28,10,10,1,Enrolled
