Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Unemployment rate,Inflation rate,GDP,Daytime/evening attendance,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Target,Marital status,Application mode,Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Application order
20,0,0,10.8,1.4,1.74,1,1,0,1,1,0,Dropout,1,8,2,1,13,10,6,10,5
19,6,6,13.9,-0.3,0.79,1,1,0,0,1,0,Graduate,1,6,11,1,1,3,4,4,1
19,0,0,10.8,1.4,1.74,1,1,0,0,1,0,Dropout,1,1,5,1,22,27,10,10,5
20,6,5,9.4,-0.8,-3.12,1,1,0,1,0,0,Graduate,1,8,15,1,23,27,6,4,2
45,5,6,13.9,-0.3,0.79,0,0,0,1,0,0,Graduate,2,12,3,1,22,28,10,10,1
50,5,5,16.2,0.3,-0.92,0,0,1,1,1,0,Graduate,2,12,17,12,22,27,10,8,1
18,7,8,15.5,2.8,-4.06,1,1,0,1,0,1,Graduate,1,1,12,1,13,28,8,11,1
22,0,0,15.5,2.8,-4.06,1,1,0,0,1,0,Dropout,1,9,11,1,22,27,10,10,4
21,6,6,16.2,0.3,-0.92,1,0,0,1,0,1,Graduate,1,1,10,1,1,1,10,10,3
18,5,2,8.9,1.4,3.51,1,1,1,0,0,0,Dropout,1,1,10,1,1,14,5,8,1
18,6,5,13.9,-0.3,0.79,1,1,0,1,0,0,Graduate,1,1,14,1,23,14,6,8,1
18,7,7,12.7,3.7,-1.7,1,1,0,1,0,1,Graduate,1,1,12,1,13,28,10,10,1
19,0,0,12.7,3.7,-1.7,1,1,0,1,0,0,Dropout,1,1,16,1,13,27,5,10,2
21,6,5,8.9,1.4,3.51,1,1,0,1,0,1,Graduate,1,17,11,16,1,1,5,8,1
18,4,5,10.8,1.4,1.74,1,1,0,1,0,1,Graduate,1,1,6,1,23,27,6,6,1
20,5,0,15.5,2.8,-4.06,1,1,0,1,0,0,Dropout,1,1,15,1,13,27,10,4,1
18,1,2,10.8,1.4,1.74,1,1,0,1,0,0,Enrolled,1,9,10,1,13,28,6,9,1
18,7,8,15.5,2.8,-4.06,1,1,0,1,0,0,Graduate,1,8,12,1,13,1,6,5,2
20,4,4,10.8,1.4,1.74,1,1,0,1,0,0,Graduate,1,1,8,1,3,14,4,6,1
18,6,6,16.2,0.3,-0.92,1,1,0,1,0,0,Enrolled,1,1,16,1,13,14,8,8,1
21,0,0,11.1,0.6,2.02,1,0,0,1,0,1,Graduate,1,1,2,1,1,1,10,9,3
20,7,8,12.7,3.7,-1.7,1,1,0,1,0,0,Enrolled,1,9,13,1,1,28,5,8,4
18,7,7,12.7,3.7,-1.7,1,1,0,1,0,0,Graduate,1,1,12,1,13,14,2,2,4
19,6,6,11.1,0.6,2.02,1,1,0,1,0,1,Graduate,1,1,14,1,1,28,5,8,4
19,6,7,11.1,0.6,2.02,1,0,0,1,0,0,Graduate,1,1,12,1,13,14,4,8,1
18,5,4,7.6,2.6,0.32,1,1,1,1,0,1,Enrolled,1,1,10,1,13,28,10,10,1
21,6,6,16.2,0.3,-0.92,1,1,0,1,0,0,Graduate,1,8,10,1,13,28,8,9,2
18,5,4,9.4,-0.8,-3.12,1,1,0,1,0,0,Enrolled,1,1,6,1,13,14,4,4,1
20,5,5,16.2,0.3,-0.92,1,1,0,1,0,0,Graduate,1,1,9,1,13,1,10,10,1
19,6,6,16.2,0.3,-0.92,1,1,0,1,1,0,Enrolled,1,8,12,1,3,3,2,11,2
21,5,5,16.2,0.3,-0.92,1,0,0,1,1,0,Enrolled,1,15,4,14,4,5,5,3,1
20,6,4,8.9,1.4,3.51,1,1,0,1,1,0,Graduate,1,16,5,1,27,3,16,22,1
18,3,2,8.9,1.4,3.51,1,0,0,0,1,0,Enrolled,1,1,9,1,1,1,5,7,1
19,6,6,12.4,0.5,1.79,0,1,0,1,0,0,Graduate,1,9,3,1,13,1,10,6,1
34,5,5,13.9,-0.3,0.79,0,0,0,1,1,0,Graduate,1,1,17,1,2,27,4,10,1
37,0,1,8.9,1.4,3.51,1,0,1,0,1,0,Dropout,1,12,1,1,23,27,10,7,1
43,0,0,7.6,2.6,0.32,1,1,0,1,1,0,Dropout,1,12,7,8,19,27,1,1,1
55,1,2,16.2,0.3,-0.92,1,0,0,1,0,0,Dropout,1,14,9,1,22,27,7,7,1
39,5,5,7.6,2.6,0.32,0,1,0,1,0,0,Graduate,4,12,17,1,13,14,10,4,1
20,3,3,12.4,0.5,1.79,1,0,1,0,0,0,Dropout,1,15,8,14,4,4,4,7,1
18,4,0,12.7,3.7,-1.7,1,0,1,1,0,0,Dropout,1,1,15,1,3,3,3,3,5
22,5,5,8.9,1.4,3.51,1,1,0,1,0,0,Graduate,1,1,9,1,3,14,3,8,2
22,5,7,11.1,0.6,2.02,1,1,0,1,0,0,Graduate,1,1,12,1,1,3,3,3,6
20,4,5,12.4,0.5,1.79,1,0,0,0,0,0,Dropout,1,8,15,1,1,28,6,6,1
29,0,0,16.2,0.3,-0.92,0,0,0,1,0,0,Dropout,1,12,17,1,22,27,10,10,1
24,2,3,7.6,2.6,0.32,0,0,0,1,0,0,Enrolled,1,8,17,1,23,28,5,6,1
18,6,5,11.1,0.6,2.02,1,1,0,1,0,0,Graduate,1,8,10,1,13,14,10,10,2
22,6,7,11.1,0.6,2.02,1,1,0,1,0,1,Graduate,1,8,12,1,22,14,8,8,6
21,6,6,12.4,0.5,1.79,0,0,0,1,0,1,Graduate,1,15,3,14,1,14,10,10,1
19,5,6,12.7,3.7,-1.7,1,0,0,1,0,1,Graduate,1,1,10,1,22,28,10,10,1
24,6,6,12.4,0.5,1.79,1,0,0,1,0,1,Graduate,1,12,11,1,13,28,10,8,1
19,6,6,9.4,-0.8,-3.12,1,1,0,1,0,1,Enrolled,1,1,12,1,22,28,7,7,1
20,4,3,9.4,-0.8,-3.12,1,1,0,1,0,1,Enrolled,1,1,15,1,1,14,8,8,1
19,5,5,7.6,2.6,0.32,1,0,0,1,0,0,Graduate,1,1,8,1,22,27,12,12,3
27,5,5,9.4,-0.8,-3.12,0,0,0,1,0,0,Dropout,1,12,17,1,23,28,10,10,1
18,7,8,15.5,2.8,-4.06,1,1,0,1,0,0,Graduate,1,1,12,1,1,14,6,6,1
39,0,0,12.4,0.5,1.79,1,0,0,1,0,0,Dropout,2,4,11,3,1,3,5,4,1
27,5,10,12.4,0.5,1.79,1,1,0,1,0,0,Dropout,1,12,8,15,3,3,3,3,1
